Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1001,3e9,Motorola 1,D,Motorola 1,Public Works,Office of the CIO
1002,3ea,Motorola 2,D,Motorola 2,Public Works,Office of the CIO
1003,3eb,Motorola 3,D,Motorola 3,Public Works,Office of the CIO
1004,3ec,Motorola 4,D,Motorola 4,Public Works,Office of the CIO
1005,3ed,Motorola 5,D,Motorola 5,Public Works,Office of the CIO
3001,bb9,Troop A ISO SEC,DE,ISO Secure,Law Tac,State Patrol Troop A  Omaha
3002,bba,Troop A SEC 5,DE,Secure 5,Law Tac,State Patrol Troop A  Omaha
3003,bbb,Troop A SEC 6,DE,Secure 6,Law Tac,State Patrol Troop A  Omaha
3004,bbc,Troop A SEC 7,DE,Secure 7,Law Tac,State Patrol Troop A  Omaha
3005,bbd,Troop A LE 1,D,LE 1,Law Tac,State Patrol Troop A  Omaha
3006,bbe,Troop A LE 2,D,LE 2,Law Tac,State Patrol Troop A  Omaha
3007,bbf,NSP Brk Arw,DE,Broken Arrow,Law Talk,State Patrol  Statewide
3008,bc0,Troop A LE 3 SEC,De,LE 3 Secure,Law Tac,State Patrol Troop A  Omaha
3010,bc2,Troop B Disp 2,DE,Dispatch 2,Law Tac,State Patrol Troop B  Norfolk
3011,bc3,Troop B ISO,D,ISO,Law Dispatch,State Patrol Troop B  Norfolk
3012,bc4,Troop B Sec 5,DE,Secure 5,Law Tac,State Patrol Troop B  Norfolk
3013,bc5,Troop B Sec 6,DE,Secure 6,Law Tac,State Patrol Troop B  Norfolk
3014,bc6,Troop B Sec 7,DE,Secure 7,Law Tac,State Patrol Troop B  Norfolk
3015,bc7,Troop B LE 1,D,LE 1,Law Tac,State Patrol Troop B  Norfolk
3016,bc8,Troop B LE 2,D,LE 2,Law Tac,State Patrol Troop B  Norfolk
3018,bca,Troop B LE 3,De,LE 3,Law Tac,State Patrol Troop B  Norfolk
3019,bcb,NSP SWAT 1,D,SWAT 1,Law Tac,State Patrol  Statewide
3020,bcc,NSP SWAT 2,D,SWAT 2,Law Tac,State Patrol  Statewide
3022,bce,Troop E Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop E  Scottsbluff
3025,bd1,Troop C LE 5,DE,LE 5,Law Tac,State Patrol Troop C  Grand Island
3026,bd2,Troop C LE 6,DE,LE 6,Law Tac,State Patrol Troop C  Grand Island
3027,bd3,Troop C LE 7,DE,LE 7,Law Tac,State Patrol Troop C  Grand Island
3028,bd4,Troop C LE 1,D,LE 1,Law Tac,State Patrol Troop C  Grand Island
3029,bd5,Troop C LE 2,D,LE 2,Law Tac,State Patrol Troop C  Grand Island
3030,bd6,Troop C LE SEC,DE,LE SEC,Law Tac,State Patrol Troop C  Grand Island
3031,bd7,Troop C LE SEC3,DE,LE Secure 3,Law Tac,State Patrol Troop C  Grand Island
3034,bda,Troop B Disp 4,DE,Dispatch 4,Law Tac,State Patrol Troop B  Norfolk
3036,bdc,Troop D ENC,DE,Encrypted 3036,Law Tac,State Patrol Troop D  North Platte
3039,bdf,Troop D LE 1,D,LE 1,Law Tac,State Patrol Troop D  North Platte
3040,be0,Troop D LE 2,D,LE 2,Law Tac,State Patrol Troop D  North Platte
3042,be2,Troop D LE SEC3,DE,LE Secure 3,Law Tac,State Patrol Troop D  North Platte
3045,be5,Troop A Captl Sc,DE,Capital Security,Law Tac,State Patrol Troop A  Omaha
3047,be7,NSP Exec Prot,DE,Executive Protection,Law Talk,State Patrol  Statewide
3051,beb,Troop E ISO Sec,De,ISO Secure,Law Tac,State Patrol Troop E  Scottsbluff
3052,bec,Troop E Sec 5,DE,Secure 5,Law Tac,State Patrol Troop E  Scottsbluff
3053,bed,Troop E Sec 6,D,Secure 6,Law Tac,State Patrol Troop E  Scottsbluff
3054,bee,Troop E Sec 7,D,Secure 7,Law Tac,State Patrol Troop E  Scottsbluff
3055,bef,Troop E LE 1,D,LE 1,Law Tac,State Patrol Troop E  Scottsbluff
3056,bf0,Troop E LE 2,D,LE 2,Law Tac,State Patrol Troop E  Scottsbluff
3058,bf2,Troop E LE 3,D,LE 3 Secure,Law Tac,State Patrol Troop E  Scottsbluff
3060,bf4,S1 Statewide,D,S1 Statewide,Interop,Statewide Interoperbility
3071,bff,Troop HQ Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop H  Lincoln
3072,c00,Troop HQ Disp 2,DE,Dispatch 2,Law Dispatch,State Patrol Troop H  Lincoln
3073,c01,Troop HQ Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop H  Lincoln
3074,c02,Troop HQ Disp 4,DE,Dispatch 4,Law Dispatch,State Patrol Troop H  Lincoln
3075,c03,Troop A Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop A  Omaha
3076,c04,Troop A Disp 2,DE,Dispatch 2,Law Tac,State Patrol Troop A  Omaha
3077,c05,Troop A Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop A  Omaha
3078,c06,Troop A Disp 4,DE,Dispatch 4,Law Tac,State Patrol Troop A  Omaha
3079,c07,Troop B Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop B  Norfolk
3080,c08,Troop C Disp 2,DE,Dispatch 2,Law Dispatch,State Patrol Troop C  Grand Island
3081,c09,Troop C Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop C  Grand Island
3082,c0a,Troop C Disp 4,DE,Dispatch 4,Law Dispatch,State Patrol Troop C  Grand Island
3083,c0b,Troop D Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop D  North Platte
3084,c0c,Troop D Disp 2,DE,Dispatch 2,Law Dispatch,State Patrol Troop D  North Platte
3085,c0d,Troop D Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop D  North Platte
3087,c0f,Troop B Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop B  Norfolk
3088,c10,Troop E Disp 2,DE,Dispatch 2,Law Dispatch,State Patrol Troop E  Scottsbluff
3089,c11,Troop E Disp 3,D,Dispatch 3,Law Dispatch,State Patrol Troop E  Scottsbluff
3090,c12,Troop E Disp 4,De,Dispatch 4,Law Dispatch,State Patrol Troop E  Scottsbluff
3092,c14,Troop C Disp 1,D,Dispatch 1,Law Dispatch,State Patrol Troop C  Grand Island
3093,c15,Troop HQ ISO Sec,DE,ISO,Law Tac,State Patrol Troop H  Lincoln
3094,c16,Troop HQ Sec 5,DE,Secure 5,Law Tac,State Patrol Troop H  Lincoln
3095,c17,Troop HQ Sec 6,DE,Secure 6,Law Tac,State Patrol Troop H  Lincoln
3096,c18,Troop HQ Sec 7,DE,Secure 7,Law Tac,State Patrol Troop H  Lincoln
3097,c19,Troop HQ LE 1,D,LE 1,Law Tac,State Patrol Troop H  Lincoln
3098,c1a,Troop HQ LE 2,D,LE 2,Law Tac,State Patrol Troop H  Lincoln
3099,c1b,Troop HQ LE SEC3,DE,LE Secure 3,Law Tac,State Patrol Troop H  Lincoln
3252,cb4,NPPD Swtch 3,D,Switching 3,Utilities,Nebraska Public Power District
3522,dc2,NPPD Lexingt,D,Lexington Service,Utilities,Nebraska Public Power District
3524,dc4,NPPD KrnyTra,D,Kearney Tranmission Crew,Utilities,Nebraska Public Power District
3526,dc6,NPPD Swtch 1,D,Switching 1,Utilities,Nebraska Public Power District
3527,dc7,NPPD Swtch 2,D,Switching 2,Utilities,Nebraska Public Power District
3529,dc9,NPPD KrnCon2,D,Kearney Contol 2,Utilities,Nebraska Public Power District
3530,dca,NPPD NrfolkD,D,Norfolk Dispatch,Utilities,Nebraska Public Power District
3532,dcc,NPPD KrnCon1,D,Kearney Control 1,Utilities,Nebraska Public Power District
3534,dce,NPPD Plattsm,D,Plattsmouth Service,Utilities,Nebraska Public Power District
3535,dcf,NPPD York,D,York Service,Utilities,Nebraska Public Power District
3538,dd2,NPPD Work 1,D,Work 1,Utilities,Nebraska Public Power District
3539,dd3,NPPD Work 2,D,Work 2,Utilities,Nebraska Public Power District
3540,dd4,NPPD McCook,D,McCook Service,Utilities,Nebraska Public Power District
3541,dd5,NPPD Donipha,D,Doniphan Service,Utilities,Nebraska Public Power District
3543,dd7,NPPD Norfolk,D,Norfolk Service,Utilities,Nebraska Public Power District
3544,dd8,NPPD Work 3,D,Work 3,Utilities,Nebraska Public Power District
3545,dd9,NPPD S Sioux,D,South Sioux City Service,Utilities,Nebraska Public Power District
3546,dda,NPPP NrflkTOC,D,Norfolk TOC,Utilities,Nebraska Public Power District
3547,ddb,NPPD Nrk Tra,D,Norfolk Transmission Crew,Utilities,Nebraska Public Power District
3549,ddd,NPPD ChadCon,D,Chadron Control,Utilities,Nebraska Public Power District
3550,dde,NPPD Ogallala,D,Ogallala,Utilities,Nebraska Public Power District
3551,ddf,NPPD Work 4,D,Work 4,Utilities,Nebraska Public Power District
3552,de0,NPPD NP Tran,D,North Platte Transmission Crew,Utilities,Nebraska Public Power District
3558,de6,NPPD Work 5,D,Work 5,Utilities,Nebraska Public Power District
3559,de7,NPPD Veh Mnt,D,Vehicle Maintenance,Utilities,Nebraska Public Power District
3563,deb,NPPD Veh Mtc,D,Vehicle Maintenance,Utilities,Nebraska Public Power District
3564,dec,NPPD Tech,D,Technical Ops TOC,Utilities,Nebraska Public Power District
4501,1195,LES Transmission,D,Transmission,Utilities,Lincoln Electric Systems
4502,1196,LES Control 1,D,Control 1,Utilities,Lincoln Electric Systems
4503,1197,LES Control 2,D,Control 2,Utilities,Lincoln Electric Systems
4504,1198,LES Control 3,D,Control 3,Utilities,Lincoln Electric Systems
4505,1199,LES MT,D,MT,Utilities,Lincoln Electric Systems
4507,119b,LES Substation,D,Substation,Utilities,Lincoln Electric Systems
4508,119c,LES Meter,D,Meter Service,Utilities,Lincoln Electric Systems
4510,119e,LES Transport,D,Transport,Utilities,Lincoln Electric Systems
4511,119f,LES Storeroom,D,Storeroom,Utilities,Lincoln Electric Systems
4512,11a0,LES Toolroom,D,Toolroom,Utilities,Lincoln Electric Systems
4513,11a1,LES CM,D,CM,Utilities,Lincoln Electric Systems
4514,11a2,LES COOP,D,Coop,Utilities,Lincoln Electric Systems
4515,11a3,LES ED,D,Electrical Distrubution,Utilities,Lincoln Electric Systems
4517,11a5,LES Generation,D,Generation,Utilities,Lincoln Electric Systems
4518,11a6,LES Corp,D,Corp,Utilities,Lincoln Electric Systems
4519,11a7,LES Common,D,Common,Utilities,Lincoln Electric Systems
4520,11a8,LES Credit,D,Credit,Utilities,Lincoln Electric Systems
4521,11a9,LES 1,D,Channel 1,Utilities,Lincoln Electric Systems
4522,11aa,LES 2,D,Channel 2,Utilities,Lincoln Electric Systems
4524,11ac,LES 4,D,Channel 4,Utilities,Lincoln Electric Systems
4600,11f8,BCPPD 4600,D,Operations 4600,Utilities,Burt County Public Power District
6000,1770,BCPPD 6000,D,Operations 6000,Utilities,Burt County Public Power District
12101,2f45,Lincoln PD 1 W,DE,Police 1 West Dispatch,Law Dispatch,Lincoln
12102,2f46,Lincoln PD 2 W C,DE,Police 2 West CarCar,Law Dispatch,Lincoln
12103,2f47,Lincoln PD 3 E,DE,Police 3 East Dispatch,Law Dispatch,Lincoln
12104,2f48,Lincoln PD 4 E C,DE,Police 4 East CarCar,Law Tac,Lincoln
12105,2f49,Lincoln PD 5 X,DE,Police 5 Expanded Dispatch,Law Dispatch,Lincoln
12106,2f4a,Lincoln PD 6 X C,DE,Police 6 Expanded CarCar,Law Tac,Lincoln
12107,2f4b,Lincoln PD 7 Ops,D,Police 7 LE Operations,Law Tac,Lincoln
12108,2f4c,Lincoln PD 8 Ops,D,Police 8 LE Operations,Law Tac,Lincoln
12109,2f4d,Lincoln PD 9 Ops,D,Police 9 LE Operations,Law Tac,Lincoln
12110,2f4e,Lincoln PD 10 Op,D,Police 10 LE Operations,Law Tac,Lincoln
12111,2f4f,Lincoln PD 11 Op,D,Police 11 LE Operations,Law Tac,Lincoln
12112,2f50,Lincoln PD 12 Op,D,Police 12 LE Operations,Law Tac,Lincoln
12113,2f51,Lincoln PD 13 PS,DE,Police 13 PS,Multi-Tac,Lincoln
12114,2f52,Lincoln PD 14 PS,DE,Police 14 PS,Multi-Tac,Lincoln
12115,2f53,Lincoln PD 15 CL,D,Police 15 PS CLR,Multi-Tac,Lincoln
12116,2f54,Lincoln PD 16 In,D,Police 16 Info,Law Talk,Lincoln
12119,2f57,Lincoln PD K9,D,Police K9,Law Tac,Lincoln
12120,2f58,Lincoln PD SWAT,D,Police SWAT,Law Tac,Lincoln
12123,2f5b,Lincoln PD Narc1,D,Police Narcotics 1,Law Tac,Lincoln
12124,2f5c,Lincoln PD Narc2,D,Police Narcotics 2,Law Tac,Lincoln
12129,2f61,Lincoln PD Traff,D,Police Traffic,Law Tac,Lincoln
12150,2f76,LanCo SO Train,D,Sheriff Training,Law Talk,Lancaster County
12151,2f77,LanCo SO Ops,D,Sheriff Operations,Law Tac,Lancaster County
12152,2f78,LanCo SO Court,D,Sherriff Court,Law Tac,Lancaster County
12153,2f79,LanCo SO Civil,D,Sheriff Civil,Law Tac,Lancaster County
12154,2f7a,LanCo SO TAC,D,Sheriff Tactical,Law Tac,Lancaster County
12155,2f7b,LanCo SO FTF,D,Sheriff Fugitive Task Force,Law Tac,Lancaster County
12158,2f7e,LanCoLinc EMA 1,D,Emergency Management Talk 1,Emergency Ops,Lancaster County
12159,2f7f,LanCo ADF Trans,D,Adult Detention Facility Transporation,Corrections,Lancaster County
12160,2f80,LanCo ADF Tac,D,Adult Detention Facility Tactical,Corrections,Lancaster County
12161,2f81,UNL PD 1,DE,UNL Police 1,Law Dispatch,Lincoln
12168,2f88,UNL PDFD 1,DE,UNL PoliceFire 1,Fire Dispatch,Lincoln
12169,2f89,UNL PDFD 2,DE,UNL PoliceFire 2,Multi-Tac,Lincoln
12170,2f8a,UNL PDFD 3,DE,UNL PoliceFire 3,Multi-Tac,Lincoln
12171,2f8b,UNL Red 1,DE,UNL Gameday Red 1,Schools,Lincoln
12172,2f8c,UNL Red 2,DE,UNL Gameday Red 2,Schools,Lincoln
12173,2f8d,UNL Red 3,DE,UNL Gameday Red 3,Schools,Lincoln
12174,2f8e,UNL Red 4,DE,UNL Gameday Red 4,Schools,Lincoln
12175,2f8f,UNL Red 5,DE,UNL Gameday Red 5,Schools,Lincoln
12176,2f90,UNL Red 6,DE,UNL Gameday Red 6,Schools,Lincoln
12177,2f91,UNL Red 7,DE,UNL Gameday Red 7,Schools,Lincoln
12178,2f92,UNL Red 8,DE,UNL Gameday Red 8,Schools,Lincoln
12179,2f93,UNL Red 9,DE,UNL Gameday Red 9,Schools,Lincoln
12180,2f94,UNL Red 10,DE,UNL Gameday Red 10,Schools,Lincoln
12181,2f95,UNL White 1,D,UNL Gameday White 1,Schools,Lincoln
12182,2f96,UNL White 2,D,UNL Gameday White 2,Schools,Lincoln
12183,2f97,UNL White 3,D,UNL Gameday White 3,Schools,Lincoln
12184,2f98,UNL White 4,D,UNL Gameday White 4,Schools,Lincoln
12185,2f99,UNL White 5,D,UNL Gameday White 5,Schools,Lincoln
12186,2f9a,UNL White 6,D,UNL Gameday White 6,Schools,Lincoln
12502,30d6,Lincoln FD 2 Tac,D,Fire 2 Tac,Fire-Tac,Lincoln
12503,30d7,Lincoln FD 3 Tac,D,Fire 3 Tac,Fire-Tac,Lincoln
12504,30d8,Lincoln FD 4 Tac,D,Fire 4 Tac,Fire-Tac,Lincoln
12505,30d9,Lincoln FD 5 Tac,D,Fire 5 Tac,Fire-Tac,Lincoln
12506,30da,Lincoln FD 6 Tac,D,Fire 6 Tac,Fire-Tac,Lincoln
12507,30db,Lincoln FD 7 Tac,D,Fire 7 Tac,Fire-Tac,Lincoln
12508,30dc,Lincoln FD 8 Tac,D,Fire 8 Tac,Fire-Tac,Lincoln
12509,30dd,Lincoln FD9 Tac,D,Fire 9 Tac,Fire-Tac,Lincoln
12510,30de,Lincoln FD 10 Tc,D,Fire 10 Tac,Fire-Tac,Lincoln
12511,30df,Lincoln FD 11 Tc,D,Fire 11 Tac,Fire-Tac,Lincoln
12512,30e0,Lincoln FD 12 Tc,D,Fire 12 Tac,Fire-Tac,Lincoln
12520,30e8,Lincoln Emerg Ts,D,Emergency Test,Other,Lincoln
12521,30e9,Lincoln FD Alert,D,Fire Station Alerting,Fire Dispatch,Lincoln
12522,30ea,Lincoln FD Com,D,Fire Common,Fire-Talk,Lincoln
12523,30eb,Lincoln FD Com,D,Fire Traning Common,Fire-Talk,Lincoln
12524,30ec,Lincoln FD Log,D,Fire Logistics Common,Fire-Talk,Lincoln
12526,30ee,Lincoln USAR,D,Urban Search  Rescue,Emergency Ops,Lincoln
12527,30ef,Lincoln FD Plans,D,Fire Plans Common,Fire-Tac,Lincoln
12531,30f3,Lincoln FD HZMT1,D,Fire Hazmat 1,Fire-Tac,Lincoln
12532,30f4,Lincoln FD HZMT2,D,Fire Hazmat 2,Fire-Tac,Lincoln
12533,30f5,Lincoln FD HZMT3,D,Fire Hazmat 3,Fire-Tac,Lincoln
12534,30f6,Lincoln FD HZMT4,D,Fire Hazmat 4,Fire-Tac,Lincoln
12535,30f7,ANG Fire 1,D,Fire 1,Fire Dispatch,Air National Guard  Lincoln
12601,3139,Lincoln Snow 1,D,Snow Route 1,Public Works,Lincoln
12602,313a,Lincoln Snow 2,D,Snow Route 2,Public Works,Lincoln
12640,3160,StarTran An,D,StarTran Announcements,Transportation,Lincoln
12641,3161,StarTran Van,D,StarTran Handivan,Transportation,Lincoln
12642,3162,StarTran Reply,D,StarTran Reply,Transportation,Lincoln
12643,3163,StarTran Tac 1,D,StarTran Tac 1,Transportation,Lincoln
12650,316a,LAA Security,D,Lincoln Airport Authority Security,Law Dispatch,Lincoln
12660,3174,LAA Operations,D,Lincoln Airport Authority Operations,Public Works,Lincoln
12711,31a7,Lincoln ACO,D,Animal Control,Public Works,Lincoln
12801,3201,Lincoln Interp 1,D,Interoperability 1,Interop,Lincoln
12802,3202,Lincoln Interp 2,D,Interoperability 2,Interop,Lincoln
12803,3203,Lincoln Interp 3,D,Interoperability 3,Interop,Lincoln
12804,3204,Lincoln Interp 4,D,Interoperability 4,Interop,Lincoln
12805,3205,Lincoln Interp 5,D,Interoperability 5,Interop,Lincoln
12806,3206,Lincoln Interp 6,D,Interoperability 6,Interop,Lincoln
12807,3207,Lincoln Interp 7,D,Interoperability 7,Interop,Lincoln
12808,3208,Lincoln Interp 8,D,Interoperability 8,Interop,Lincoln
12809,3209,Lincoln Interp 9,D,Interoperability 9,Interop,Lincoln
12810,320a,Lincoln Interp10,D,Interoperability 10,Interop,Lincoln
12811,320b,Lincoln Interp11,D,Interoperability 11,Interop,Lincoln
12812,320c,Lincoln Interp12,D,Interoperability 12,Interop,Lincoln
12813,320d,Lincoln Interp13,D,Interoperability 13,Interop,Lincoln
12814,320e,Lincoln Interp14,D,Interoperability 14,Interop,Lincoln
12815,320f,Lincoln Interp15,D,Interoperability 15,Interop,Lincoln
12816,3210,Lincoln Interp16,D,Interoperability 16,Interop,Lincoln
12830,321e,BNSF Police,D,Police,Law Dispatch,BNSF Railway
12840,3228,CHI St Elizabeth,D,CHI Health St Elizabeth,Hospital,Lincoln
12841,3229,Bryan Med West,D,Bryan Medical Center West,Hospital,Lincoln
12842,322a,Bryan Med East,D,Bryan Medical Center East,Hospital,Lincoln
12843,322b,CHI Heart,D,CHI Health Nebraska Heart,Hospital,Lincoln
12844,322c,Midwest MedTrans,D,Midwest Medical Transport Company,EMS Dispatch,Lincoln
12845,322d,LanCoLinc EMA 2,D,Emergency Management Talk 2,Emergency Ops,Lancaster County
12851,3233,Lincoln MCI 1,DE,Mass Casualty Incident 1,Multi-Tac,Lincoln
12852,3234,Lincoln MCI 2,DE,Mass Casualty Incident 2,Multi-Tac,Lincoln
12853,3235,Lincoln MCI 3,DE,Mass Casualty Incident 3,Multi-Tac,Lincoln
12854,3236,Lincoln MCI 4,DE,Mass Casualty Incident 4,Multi-Tac,Lincoln
12855,3237,Lincoln MCI 5,DE,Mass Casualty Incident 5,Multi-Tac,Lincoln
12856,3238,Lincoln MCI 6,DE,Mass Casualty Incident 6,Multi-Tac,Lincoln
12857,3239,Lincoln MCI 7,DE,Mass Casualty Incident 7,Multi-Tac,Lincoln
12858,323a,Lincoln MCI 8,DE,Mass Casualty Incident 8,Multi-Tac,Lincoln
12859,323b,Lincoln MCI 9,DE,Mass Casualty Incident 9,Multi-Tac,Lincoln
12860,323c,Lincoln MCI 10,DE,Mass Casualty Incident 10,Multi-Tac,Lincoln
12861,323d,Lincoln MCI 11,DE,Mass Casualty Incident 11,Multi-Tac,Lincoln
12862,323e,Lincoln MCI 12,DE,Mass Casualty Incident 12,Multi-Tac,Lincoln
12863,323f,Lincoln MCI 13,DE,Mass Casualty Incident 13,Multi-Tac,Lincoln
12864,3240,Lincoln MCI 14,DE,Mass Casualty Incident 14,Multi-Tac,Lincoln
12865,3241,Lincoln MCI 15,DE,Mass Casualty Incident 15,Multi-Tac,Lincoln
12866,3242,Lincoln MCI 16,DE,Mass Casualty Incident 16,Multi-Tac,Lincoln
